num,name,yil,new_yil,final_yil
0,Russell Westbrook,7,7,7
1,James Harden,6,6,6
2,Kevin Durant,8,8,8
3,LeBron James,-1,12,12
4,Anthony Davis,3,3,3
5,Carmelo Anthony,12,12,12
6,DeMarcus Cousins,5,5,5
7,Stephen Curry,-1,6,6
8,LaMarcus Aldridge,9,9,9
9,Kobe Bryant,19,19,19
10,Blake Griffin,6,6,6
11,Kyrie Irving,4,4,4
12,Klay Thompson,4,4,4
13,Dwyane Wade,12,12,12
14,Chris Bosh,12,12,12
15,Rudy Gay,9,9,9
16,Damian Lillard,3,3,3
17,DeMar DeRozan,6,6,6
18,Jimmy Butler,4,4,4
19,Kevin Martin,11,-1,11
20,Nikola Vucevic,4,4,4
21,Gordon Hayward,5,5,5
22,Chris Paul,10,10,10
23,Monta Ellis,10,10,10
24,Pau Gasol,14,14,14
25,Victor Oladipo,2,2,2
26,Kyle Lowry,9,9,9
27,Derrick Rose,7,7,7
28,John Wall,5,-1,5
29,Marc Gasol,14,8,14
30,Kemba Walker,4,4,4
31,Dirk Nowitzki,17,17,17
32,Brook Lopez,7,7,7
33,Tobias Harris,4,4,4
34,Eric Bledsoe,5,5,5
35,Brandon Knight,4,-1,4
36,Andrew Wiggins,1,1,1
37,Tony Wroten,3,3,3
38,Paul Millsap,9,9,9
39,Tyreke Evans,6,6,6
40,Al Jefferson,11,11,11
41,Kawhi Leonard,4,4,4
42,Isaiah Thomas,4,-1,4
43,JJ Redick,9,9,9
44,Kevin Love,7,7,7
45,Goran Dragic,-1,7,7
46,Darren Collison,6,6,6
47,Zach Randolph,14,14,14
48,George Hill,7,-1,7
49,Derrick Favors,5,5,5
50,Wesley Matthews,-1,6,6
51,Jeff Teague,6,-1,6
52,Greg Monroe,5,5,5
53,Mike Conley,8,-1,8
54,Jamal Crawford,-1,15,15
55,Dwight Howard,11,11,11
56,Chandler Parsons,4,4,4
57,Louis Williams,10,-1,10
58,Enes Kanter,4,4,4
59,Brandon Jennings,6,6,6
60,Markieff Morris,4,4,4
61,Bradley Beal,3,3,3
62,Ty Lawson,6,6,6
63,Al Horford,8,8,8
64,Jeff Green,8,-1,8
65,Andrea Bargnani,9,9,9
66,Jrue Holiday,6,6,6
67,Michael Carter-Williams,2,2,2
68,Reggie Jackson,4,-1,4
69,Joe Johnson,14,-1,14
70,Tony Parker,14,14,14
71,Serge Ibaka,7,7,7
72,Mo Williams,12,12,12
73,Thaddeus Young,8,8,8
74,Luol Deng,11,11,11
75,Wilson Chandler,8,8,8
76,Avery Bradley,5,5,5
77,Tim Duncan,18,18,18
78,Alec Burks,4,4,4
79,Andre Drummond,3,3,3
80,Ryan Anderson,-1,-1,7
81,Shabazz Muhammad,2,2,2
82,CJ Miles,-1,10,10
83,Eric Gordon,7,7,7
84,Robert Covington,-1,2,2
85,Nick Young,8,-1,8
86,Khris Middleton,3,3,3
87,Jared Sullinger,3,3,3
88,Arron Afflalo,8,8,8
89,Deron Williams,10,10,10
90,Trevor Ariza,11,11,11
91,Giannis Antetokounmpo,-1,2,2
92,Kentavious Caldwell-Pope,2,2,2
93,Trey Burke,2,2,2
94,Rodney Stuckey,-1,8,8
95,Kenneth Faried,-1,4,4
96,DeMarre Carroll,6,6,6
97,Nikola Pekovic,-1,7,7
98,Danilo Gallinari,7,7,7
99,Josh Smith,-1,11,11
100,Jabari Parker,1,1,1
101,Marcin Gortat,10,10,10
102,Kyle Korver,12,12,12
103,Ben McLemore,2,2,2
104,Gerald Henderson,6,37,37
105,J.R. Smith,11,11,11
106,Jonas Valanciunas,4,4,4
107,Donatas Motiejunas,4,4,4
108,Evan Fournier,-1,3,3
109,Jordan Hill,6,-1,6
110,Jarrett Jack,10,10,10
111,Jabari Brown,-1,1,1
112,Gerald Green,10,10,10
113,Jordan Clarkson,1,1,1
114,Paul Pierce,17,17,17
115,Carlos Boozer,-1,13,13
116,Dion Waiters,3,3,3
117,Hassan Whiteside,5,5,5
118,Terrence Jones,-1,3,3
119,Langston Galloway,-1,1,1
120,Danny Green,6,-1,6
121,Draymond Green,3,3,3
122,David West,-1,-1,12
123,Aaron Brooks,8,-1,8
124,DeAndre Jordan,7,7,7
125,Amar'e Stoudemire,13,13,13
126,Ersan Ilyasova,-1,10,10
127,Corey Brewer,-1,8,8
128,Tim Hardaway Jr.,2,2,2
129,O.J. Mayo,7,7,7
130,Jeremy Lin,-1,5,5
131,Jodie Meeks,-1,6,6
132,Nene,-1,-1,13
133,Vander Blue,-1,2,2
134,Michael Kidd-Gilchrist,-1,3,3
135,Anthony Morrow,7,7,7
